date,open,high,low,close,volume,daily_return,ma_5,ma_10,ma_20,ma_50,ma_200,std_5,std_10,std_20,momentum_3,momentum_7,rolling_return_3,rolling_return_7,rsi_14,macd,macd_signal,bollinger_width,volume_change,volume_ma_5,price_gap,close_to_ma50,close_to_ma200,ma_gap_5_20,close_to_range,rolling_max_10,rolling_min_10,volatility_regime,rsi_volatility_interaction,weekday,month,day,target
2001-08-20,18.9376,19.2724,18.7656,19.257,14856207,0.013249005535327374,19.477539999999998,19.7994,20.10853,20.866796,19.2263555,0.026767413986859855,0.020138422251354097,0.016367559150324767,-0.1535999999999973,-0.7094999999999985,-0.007913202064851022,-0.035534520321538476,36.44022770398483,-0.4342068352677728,-0.3476563409931612,0.06547023660129907,-0.0739576277937497,13544117.4,-0.06759999999999877,0.9228537049962054,1.0015938798177326,-0.6309900000000006,0.9696132596685091,20.378,19.0052,1,0.7338486924383382,0,8,20,0
2001-08-21,19.257,19.4106,18.6458,18.6673,14469400,-0.030622630731682032,19.23736,19.62833,20.023455000000002,20.797138,19.2117165,0.028364295549211816,0.02137847010307735,0.017401300961300787,-1.1793999999999976,-1.4558,-0.05942549643013684,-0.07234471825911515,30.391364839998232,-0.4938228865929801,-0.37688965011312503,0.06960520384520315,-0.026036726601884275,14197107.6,0.0,0.897589851065084,0.971662266617353,-0.7860950000000031,0.02811192468619208,20.2183,18.6673,1,0.6497208846236183,1,8,21,0
2001-08-22,18.7749,18.781,18.1452,18.6305,23989057,-0.0019713616859428074,19.08134,19.49934,19.918725000000002,20.72699,19.200061,0.02788883330104632,0.02087040225080146,0.01665200810187181,-0.37469999999999715,-1.5877999999999979,-0.019715656767621326,-0.07853281433157078,25.126431297709928,-0.5378386204051218,-0.4090794441715244,0.06660803240748724,0.657916499647532,16568409.8,0.10759999999999792,0.8988521729397274,0.9703354588300527,-0.8373850000000012,0.7632903428751219,20.2183,18.6305,1,0.5243987283103335,2,8,22,0
2001-08-23,18.6336,18.8977,18.1206,18.1575,15913366,-0.025388475886315542,18.7435,19.31844,19.804015,20.655920000000002,19.184121,0.0225890148478827,0.021406017733018957,0.01717595431604775,-1.0995000000000026,-1.7107000000000028,-0.05709612089110472,-0.08610241491428527,23.443133763632304,-0.6039268606236874,-0.44804892746195707,0.068703817264191,-0.33664061909561516,17054143.2,0.0030999999999998806,0.8790458135004394,0.946485898415674,-1.0605149999999988,0.047484236263028216,20.2183,18.1575,1,0.5018241370618486,3,8,23,1
2001-08-24,18.3049,19.128,18.1913,19.0574,19471718,0.0495607875533528,18.75394,19.211869999999998,19.751495,20.613844,19.171145,0.03245517557079322,0.028118708318825823,0.020934859118776062,0.39010000000000034,-0.3531999999999975,0.020897505263214322,-0.01819624328974878,37.85638143230934,-0.5770361444345475,-0.4738463708564752,0.08373943647510425,0.22360775212484896,17739949.6,0.14740000000000109,0.924495208171751,0.9940668645508655,-0.9975549999999984,0.9246290167609706,20.2183,18.1575,1,1.0644725475013201,4,8,24,1
2001-08-27,19.0113,19.4597,18.9099,19.1372,13686522,0.004187349795879758,18.72998,19.10376,19.697899999999997,20.57877,19.1601995,0.031845039398431606,0.028098171316655086,0.020919661900744617,0.5066999999999986,-0.7094999999999985,0.02719733769893451,-0.035749016209243756,38.00417649561083,-0.5430261970563386,-0.4876823360964479,0.08367864760297847,-0.2971076306672067,17506012.6,-0.046100000000002694,0.9299486801203377,0.9987996210582254,-0.9679199999999959,0.4134230629319737,19.8682,18.1575,1,1.0678478619220695,0,8,27,0
2001-08-28,19.1464,19.3338,18.6059,18.655,14564905,-0.02519699851597934,18.727520000000002,18.98244,19.614205000000002,20.541054,19.1446355,0.030646661443066936,0.028584365578862004,0.021410588318748546,0.4975000000000023,-0.3501999999999974,0.027399146358254356,-0.018426535895438967,37.82426295127397,-0.548657991024335,-0.49987746708202535,0.08564235327499418,0.06417868615562083,17525113.6,0.009199999999999875,0.9081812452272411,0.9744244020733642,-0.886685,0.06745432064844441,19.8467,18.1575,1,1.0811825599502212,1,8,28,0
2001-08-29,18.7502,18.827,18.2864,18.5045,14794386,-0.008067542213883727,18.702320000000004,18.89183,19.518684999999998,20.497626,19.133694000000002,0.03087694395707775,0.02797387881402875,0.021336129956718745,-0.5529000000000011,-0.7525000000000013,-0.029012352157167354,-0.039076699382042945,36.20962873528526,-0.5588235505032557,-0.5116666837662714,0.08534451982687498,0.015755749865859148,15686179.4,0.0951999999999984,0.9027630809538626,0.9671159160379589,-0.816364999999994,0.4034406215316301,19.8467,18.1575,1,1.0129237661418429,2,8,29,0
2001-08-30,18.1329,18.3233,17.3589,17.4879,29985575,-0.05493798805695915,18.568400000000004,18.655949999999997,19.357284999999997,20.421028,19.119109,0.03858283636116056,0.030318868029002875,0.023569059286219586,-1.6493000000000002,-1.1794000000000011,-0.08618293167234492,-0.06317999925002549,28.613167121153097,-0.6415159569268774,-0.5376365383983926,0.09427623714487834,1.0268211874423177,18500621.2,-0.3716000000000008,0.8563672700512432,0.9146817458909826,-0.7888849999999934,0.13376192451265156,19.257,17.4879,1,0.8675188378380448,3,8,30,1
2001-08-31,17.4603,17.8319,17.2914,17.5217,17783005,0.0019327649403302338,18.26126,18.507600000000004,19.206175,20.342464,19.1010455,0.024453636962045517,0.02859799021386898,0.023676877678431397,-1.133300000000002,-1.1088000000000022,-0.06075046904315207,-0.0595153109148977,27.89454700462342,-0.6962964353849586,-0.5693685177957059,0.09470751071372559,-0.40694800750027305,18162878.6,-0.027599999999999625,0.8613361685192118,0.9173162798863548,-0.9449150000000017,0.4260869565217374,19.257,17.4879,1,0.7977279822585288,4,8,31,0
